participant_id,secs,id,length,correct,feedback,duration,eng_qt,start,talking_time
1CZ1CL1P,1648134409,0,7,0,0,   17.0509,    1.0000,1648134371,20
1CZ1CL1P,1648134452,1,7,0,0,   12.4892,    0.3114,1648134409,20
1CZ1CL1P,1648134490,2,5,0,1,    6.6176,    0.6612,1648134452,14
1CZ1CL1P,1648134519,3,5,0,0,    5.2145,    0.6728,1648134490,14
1CZ1CL1P,1648134550,4,3,1,2,    6.2580,    0.6064,1648134519,8
1CZ1CL1P,1648134574,5,3,0,0,    5.7460,    0.7918,1648134550,8
1CZ1CL1P,1648134606,6,3,1,2,    6.3843,    0.7435,1648134574,8
1CZ1CL1P,1648134638,7,5,1,0,    8.5598,    0.2858,1648134606,14
1CZ1CL1P,1648134668,8,5,0,0,    6.7205,   -0.0401,1648134638,14
1CZ1CL1P,1648134719,9,7,0,1,   14.5945,    0.2147,1648134668,20
5J7PWO3G,1647942816,0,7,0,0,    7.0417,   -1.0000,1647942788,20
5J7PWO3G,1647942862,1,7,1,0,   16.8723,   -1.0000,1647942816,20
5J7PWO3G,1647942898,2,3,1,1,   13.4560,   -1.0000,1647942862,8
5J7PWO3G,1647942926,3,3,1,0,    9.0161,   -1.0000,1647942898,8
5J7PWO3G,1647942969,4,5,1,1,    9.4860,   -0.6532,1647942926,14
5J7PWO3G,1647943003,5,5,1,0,   11.1174,   -0.1186,1647942969,14
5J7PWO3G,1647943038,6,5,1,0,   11.4978,   -0.1105,1647943003,14
5J7PWO3G,1647943085,7,7,1,2,   13.6229,    0.3118,1647943038,20
5J7PWO3G,1647943138,8,7,1,0,   21.4577,   -0.1680,1647943085,20
5J7PWO3G,1647943172,9,3,1,2,   10.7146,   -0.3169,1647943138,8
SYBO5F61,1648035388,0,7,1,0,   16.9305,   -0.9817,1648035351,20
SYBO5F61,1648035443,1,7,0,0,   26.3380,   -0.9667,1648035388,20
SYBO5F61,1648035480,2,3,1,1,   10.2538,   -0.7953,1648035443,8
SYBO5F61,1648035505,3,3,1,0,    6.9073,   -0.9750,1648035480,8
SYBO5F61,1648035558,4,7,0,2,   18.8428,   -0.7509,1648035505,20
SYBO5F61,1648035584,5,3,1,0,    7.4383,   -0.9403,1648035558,8
SYBO5F61,1648035608,6,3,1,0,    5.7697,   -0.7871,1648035584,8
SYBO5F61,1648035650,7,5,1,1,   11.9429,   -0.8604,1648035608,14
SYBO5F61,1648035690,8,5,1,0,   16.9093,   -0.9053,1648035650,14
SYBO5F61,1648035725,9,5,0,2,    6.2732,   -0.7344,1648035690,14
6RGY40ES,1648030947,0,3,1,0,   15.4387,   -0.6271,1648030923,8
6RGY40ES,1648030973,1,3,1,0,    7.9521,   -1.0000,1648030947,8
6RGY40ES,1648031018,2,5,1,1,   15.4267,   -0.9785,1648030973,14
6RGY40ES,1648031060,3,5,1,0,   18.5315,   -0.9800,1648031018,14
6RGY40ES,1648031094,4,3,1,1,    9.6800,   -1.0000,1648031060,8
6RGY40ES,1648031119,5,3,1,0,    7.0097,   -0.9934,1648031094,8
6RGY40ES,1648031174,6,7,1,2,   21.2679,   -0.9429,1648031119,20
6RGY40ES,1648031229,7,7,1,0,   26.6545,   -1.0000,1648031174,20
6RGY40ES,1648031270,8,7,0,0,   11.9416,   -0.9109,1648031229,20
6RGY40ES,1648031310,9,5,1,2,    9.9397,   -0.9791,1648031270,14
PTEM0K27,1647961063,0,5,1,0,   52.6694,    1.0000,1647960996,14
PTEM0K27,1647961118,1,5,1,0,   31.1721,    0.6667,1647961063,14
PTEM0K27,1647961169,2,5,1,2,   22.1442,    0.3605,1647961118,14
PTEM0K27,1647961219,3,5,1,0,   26.3536,    0.6400,1647961169,14
PTEM0K27,1647961304,4,7,1,2,   50.4970,    0.6648,1647961219,20
PTEM0K27,1647961353,5,7,1,0,   19.4174,    0.7634,1647961304,20
PTEM0K27,1647961405,6,7,0,1,   17.4685,    0.1001,1647961353,20
PTEM0K27,1647961432,7,3,1,0,    7.7912,   -0.8537,1647961405,8
PTEM0K27,1647961460,8,3,1,0,    9.8635,    0.3167,1647961432,8
PTEM0K27,1647961491,9,3,1,1,    7.3321,    0.1600,1647961460,8
Q4ABT87L,1647964905,0,5,1,0,   14.2651,    1.0000,1647964876,14
Q4ABT87L,1647964938,1,5,1,0,    9.0587,    0.7400,1647964905,14
Q4ABT87L,1647964968,2,3,1,1,    5.8637,    0.5164,1647964938,8
Q4ABT87L,1647964999,3,3,1,0,    9.2031,    0.8772,1647964968,8
Q4ABT87L,1647965031,4,3,1,2,    7.2026,    0.5965,1647964999,8
Q4ABT87L,1647965066,5,5,1,0,   10.2071,    0.7696,1647965031,14
Q4ABT87L,1647965100,6,5,1,0,    9.4884,    0.6926,1647965066,14
Q4ABT87L,1647965151,7,7,1,2,   15.6510,    0.8504,1647965100,20
Q4ABT87L,1647965192,8,7,0,0,   12.2419,    0.7111,1647965151,20
